steam_temp_C,steam_pressure_kgcm2,vibration_mms,bearing_temp_C,rpm,oil_pressure_kgcm2,load_percent,failure
547.09,169.31,2.66,54.15,2992.7,2.47,94.8,0
542.65,161.48,2.46,66.92,2999.5,1.79,84.1,0
539.02,169.62,1.62,67.44,3011.2,2.14,100.0,0
552.02,158.59,4.87,69.43,2973.5,1.87,48.9,0
534.4,171.07,2.41,63.9,3009.2,2.35,79.7,0
535.39,181.87,2.25,61.87,2967.1,2.37,75.1,0
564.63,175.6,2.4,60.22,2975.9,2.24,77.4,0
544.17,158.24,4.88,90.89,2995.8,1.78,92.3,1
578.89,163.09,5.99,84.14,2944.3,1.31,82.6,0
555.28,170.14,2.6,63.19,2996.4,2.11,78.7,0
546.79,160.27,2.51,82.03,2988.2,1.83,79.2,0
557.42,166.88,5.69,89.85,3019.5,2.1,67.5,1
561.23,145.66,5.64,78.96,2935.6,1.98,60.8,0
542.14,166.74,2.54,60.7,2994.2,2.4,79.2,0
572.49,166.99,4.97,83.53,2975.6,1.53,73.9,0
535.17,172.44,3.76,64.4,3001.7,2.08,90.9,0
559.96,169.98,2.76,79.61,2972.5,2.1,73.7,0
550.41,160.65,2.22,65.09,3025.1,2.27,82.8,0
547.14,170.48,1.79,66.43,3002.5,2.31,76.3,0
536.8,173.16,4.32,65.91,3003.7,2.11,76.5,0
569.44,154.82,8.82,91.62,2984.9,1.42,65.3,1
532.17,167.86,2.06,69.82,3014.6,2.48,95.1,0
533.81,163.78,1.08,72.48,3009.8,2.19,87.8,0
531.0,168.99,2.54,73.91,3008.9,2.24,89.4,0
551.2,170.77,7.64,86.7,2962.6,1.83,100.0,1
544.19,169.21,2.16,59.94,2975.2,2.36,85.7,0
550.16,165.91,1.3,63.7,2983.1,2.17,84.9,0
529.45,168.85,3.06,74.24,3016.9,2.15,73.9,0
600.66,155.39,9.5,94.79,2955.1,1.37,58.2,1
556.6,156.27,7.04,82.38,3006.1,1.03,85.5,1
530.58,171.02,2.73,63.73,2997.8,2.31,93.3,0
529.39,174.68,3.52,68.61,2983.1,2.1,89.9,0
537.19,168.85,3.15,60.3,3003.5,2.25,100.0,0
547.61,152.4,8.15,72.71,2954.3,2.12,53.9,1
578.26,145.93,5.55,83.84,2987.5,1.6,66.2,0
570.54,175.61,6.72,75.91,2965.1,1.49,76.4,1
534.65,168.62,7.1,78.69,2972.6,2.08,98.2,1
552.56,160.8,1.48,61.88,3000.4,2.3,77.7,0
559.16,150.73,6.45,78.56,2939.5,1.89,59.2,0
561.06,170.48,2.64,68.04,2977.2,2.2,78.4,0
549.19,166.48,2.47,73.85,2990.6,2.56,92.1,0
535.5,164.56,3.24,56.19,3017.2,1.94,82.7,0
543.04,173.05,2.95,70.4,3012.5,2.29,84.3,0
558.09,157.71,9.69,96.37,2918.5,1.14,77.8,1
549.03,169.6,2.13,69.43,2978.9,2.3,74.6,0
550.22,169.07,2.15,72.23,3002.9,2.41,70.1,0
529.2,172.93,3.07,65.24,3018.3,2.06,79.9,0
520.12,167.77,3.66,72.9,2992.2,2.12,82.2,0
531.95,164.75,0.95,58.96,2983.9,2.34,83.3,0
533.4,169.75,3.04,59.39,3005.7,2.23,89.9,0
527.44,170.37,2.09,62.01,3008.3,2.08,80.0,0
538.66,177.1,2.04,60.84,3007.1,2.09,91.3,0
579.13,170.64,6.5,82.95,2973.4,1.74,79.4,0
580.61,152.94,5.72,82.38,3015.6,1.6,76.0,0
512.15,165.65,3.46,66.72,3019.9,1.97,68.6,0
543.7,172.95,3.39,69.1,3007.6,2.41,96.7,0
534.81,172.4,2.2,60.83,2989.7,2.3,89.2,0
543.2,170.96,2.54,58.2,3011.2,2.33,100.0,0
542.13,167.99,2.93,65.24,3018.1,1.91,86.8,0
561.96,160.16,6.28,69.46,2998.6,1.67,76.3,0
535.53,171.89,3.75,64.67,2991.7,2.58,70.5,0
547.98,151.03,9.34,92.15,2943.1,1.19,78.3,1
538.22,164.27,2.41,68.17,2981.6,2.53,94.0,0
553.66,163.71,5.37,84.18,2969.0,1.97,75.7,0
578.86,160.71,9.41,95.89,2931.0,1.55,81.8,1
543.93,166.62,3.94,64.8,2978.5,2.23,78.2,0
565.58,145.79,7.97,76.21,2917.5,1.7,77.3,1
543.4,169.88,2.04,63.68,2994.0,2.68,84.8,0
538.23,170.13,2.67,54.79,2996.3,2.06,75.0,0
537.75,174.94,3.0,62.53,2993.3,2.26,77.0,0
540.48,166.77,3.06,66.97,3013.4,2.33,95.5,0
567.07,164.01,9.22,105.24,2936.5,1.89,68.8,1
545.46,161.96,4.51,77.81,2996.0,1.78,77.9,0
557.14,165.33,3.1,59.36,3008.5,2.1,87.1,0
567.72,162.13,6.98,84.65,2929.4,1.59,56.7,1
556.01,175.39,2.47,64.14,3013.3,2.33,69.2,0
544.26,163.73,3.6,68.89,3006.0,2.06,88.2,0
537.67,172.72,2.2,68.86,2957.3,2.43,67.6,0
547.13,168.36,5.96,84.29,2970.1,1.86,74.4,0
529.74,168.7,3.49,68.24,2979.1,2.03,90.2,0
559.87,172.45,6.24,74.23,2992.8,2.26,74.8,0
560.91,162.96,5.1,78.88,2949.7,1.76,80.6,0
547.33,171.73,3.3,50.52,3031.3,2.17,96.1,0
556.6,154.69,10.2,87.0,2966.9,1.8,75.5,1
539.75,180.02,3.27,66.54,2993.3,2.21,87.0,0
543.59,173.19,1.59,73.17,2982.8,2.26,77.5,0
548.04,168.74,2.77,72.18,3008.5,2.27,68.2,0
532.53,172.99,3.06,63.51,3020.6,2.17,86.3,0
529.78,161.78,1.79,72.76,2976.7,2.14,72.1,0
559.27,165.7,9.4,73.18,2946.8,1.64,84.1,1
528.88,161.77,3.32,77.2,3020.8,2.31,90.9,0
546.83,168.74,2.81,64.06,3008.3,2.19,75.5,0
567.19,158.8,3.7,82.36,3012.9,1.99,67.8,0
539.07,157.78,6.15,88.88,2984.2,1.9,65.2,1
588.07,154.94,8.62,94.6,2963.1,1.46,80.0,1
543.07,166.49,1.97,57.99,3026.2,1.95,78.1,0
546.42,167.2,3.96,60.86,3003.6,2.04,100.0,0
556.18,155.64,8.75,96.82,2999.8,1.16,71.9,1
539.29,182.9,1.86,73.2,3025.2,2.09,90.7,0
568.73,161.18,3.77,71.77,2951.6,1.92,68.6,0
572.45,147.76,8.92,95.81,2907.1,1.61,82.5,1
530.32,173.47,4.06,63.7,3025.9,2.22,78.2,0
544.31,165.4,2.64,57.93,2998.3,2.02,77.6,0
549.89,167.33,1.37,65.36,3011.7,2.22,97.3,0
541.54,168.45,2.61,64.24,3010.6,2.39,77.1,0
560.14,144.64,9.8,87.06,2898.4,1.53,95.8,1
542.01,169.99,2.19,67.32,2993.4,2.43,90.7,0
544.8,169.13,1.9,67.68,2986.5,2.21,84.9,0
538.2,170.99,4.47,63.5,2990.2,2.31,59.7,0
560.14,164.69,6.47,70.9,2956.0,1.03,77.4,0
571.6,151.08,6.58,89.96,2945.4,1.59,63.3,1
553.82,164.13,5.33,80.46,2956.2,1.41,85.7,0
519.57,174.67,1.41,63.88,2982.4,1.84,90.4,0
546.07,169.85,2.36,63.04,2999.8,2.37,77.0,0
553.67,159.69,4.87,97.6,2936.4,1.65,85.5,1
533.1,163.14,1.21,72.36,2996.9,2.07,95.4,0
527.21,167.97,2.43,69.61,3021.2,2.44,87.8,0
546.4,170.16,1.9,67.3,2989.8,2.6,86.4,0
548.92,165.72,3.4,69.95,3012.0,1.75,65.2,0
558.28,171.58,5.94,82.04,2962.6,1.55,95.6,0
566.76,167.56,5.74,89.54,2964.7,2.12,78.0,1
542.15,173.73,2.97,60.73,3005.4,2.31,82.9,0
542.24,149.9,7.12,82.7,2959.9,1.67,76.3,1
538.68,174.3,2.03,64.16,3004.2,2.15,100.0,0
547.11,173.67,1.67,67.51,3004.9,2.21,84.1,0
539.31,167.36,2.97,71.19,3000.3,2.26,100.0,0
524.81,170.39,3.95,68.12,3004.9,2.38,78.8,0
543.82,168.95,1.82,62.1,3008.8,2.53,88.9,0
535.88,164.45,2.72,72.27,2978.3,1.98,80.5,0
533.44,178.63,2.18,66.12,3014.0,1.92,67.4,0
549.33,167.14,2.64,60.82,3033.2,2.14,86.3,0
534.5,180.31,3.47,70.12,3008.9,2.36,79.5,0
548.93,166.75,3.26,68.41,2958.4,2.36,80.7,0
532.91,169.59,2.4,72.57,3009.5,2.0,100.0,0
537.2,171.31,3.42,63.48,3018.0,1.81,72.5,0
542.79,170.7,1.09,66.62,2997.8,2.11,69.1,0
537.05,172.01,2.35,71.95,2983.3,2.19,87.1,0
536.97,178.31,2.13,61.99,3007.0,2.0,88.0,0
542.83,170.61,1.72,60.54,3005.3,2.16,76.6,0
532.62,177.46,2.28,64.89,2988.8,1.72,93.8,0
541.98,170.44,3.06,65.48,2998.4,2.08,93.8,0
532.65,173.97,1.5,66.47,2979.7,2.29,84.6,0
533.53,168.42,2.16,62.29,3009.5,2.11,95.2,0
598.21,154.7,9.0,94.34,3000.2,1.46,57.0,1
543.49,174.52,0.61,59.95,3009.3,2.61,85.2,0
534.18,166.76,2.45,61.86,3009.0,2.06,79.9,0
540.98,178.12,2.76,63.74,2995.6,1.89,93.8,0
539.38,165.13,2.5,70.19,3007.6,2.46,79.3,0
540.91,162.81,3.24,61.66,3028.1,2.42,80.5,0
550.25,163.9,2.59,69.91,3009.8,2.37,80.7,0
537.32,167.98,1.74,67.12,3030.9,1.99,85.2,0
551.3,171.33,2.46,70.74,3021.5,1.96,82.4,0
582.14,160.97,6.38,89.33,2972.2,1.72,92.9,1
542.81,176.59,2.41,54.39,2990.9,2.46,84.8,0
544.37,165.8,2.05,62.95,2990.1,1.79,92.6,0
550.06,174.99,2.15,67.02,2999.6,2.02,88.2,0
549.56,164.39,2.18,67.62,2992.4,2.36,98.8,0
548.1,165.0,1.96,67.57,3002.7,2.27,89.9,0
530.3,174.17,2.72,68.25,2985.5,2.23,68.0,0
521.78,159.14,3.18,62.32,2998.6,2.27,86.9,0
576.66,154.93,9.69,95.72,2931.6,1.75,60.6,1
546.46,171.7,1.98,60.45,3001.4,1.82,82.0,0
531.57,164.66,3.26,73.55,2998.4,2.17,85.7,0
582.49,151.21,8.96,97.31,2968.4,1.54,79.4,1
525.52,166.56,3.68,63.24,3013.3,2.25,100.0,0
531.1,178.2,3.09,65.38,2976.0,2.15,76.6,0
543.39,170.72,3.68,68.06,3034.4,2.22,83.9,0
538.53,166.94,2.47,62.85,2989.6,1.92,84.2,0
532.85,166.65,2.34,65.03,3016.3,2.08,89.8,0
600.64,151.04,8.93,88.25,2959.1,1.46,40.0,1
555.21,169.7,1.93,57.43,2973.0,1.88,87.7,0
544.07,174.61,2.07,65.72,2990.8,2.06,88.4,0
522.79,166.4,2.33,60.06,2998.0,2.22,82.8,0
534.8,176.13,3.43,70.88,2974.0,2.24,92.6,0
535.1,171.81,1.59,65.54,2999.5,2.16,83.7,0
524.95,160.2,3.09,69.28,3019.3,2.29,93.5,0
530.45,174.6,3.3,61.65,3020.9,2.15,87.9,0
542.08,160.9,1.95,55.82,3017.6,2.52,92.8,0
531.27,167.95,1.62,63.93,2995.4,2.36,98.1,0
551.17,169.25,1.93,70.55,2982.2,1.87,97.7,0
593.62,152.35,9.39,87.87,2950.6,1.29,63.9,1
555.35,158.59,4.32,63.83,2975.0,1.92,81.3,0
549.38,171.85,2.41,67.24,2976.4,1.97,73.1,0
541.14,177.86,2.7,63.9,3018.4,1.99,76.3,0
539.3,159.7,4.96,78.17,3007.0,1.47,76.1,0
531.13,157.35,2.27,70.5,3029.4,1.95,90.0,0
539.76,167.16,1.28,66.2,3004.0,2.55,81.4,0
542.24,173.11,2.2,66.89,2999.6,2.43,84.5,0
528.42,165.79,3.01,61.37,3003.6,1.72,100.0,0
537.84,169.73,2.73,67.61,3009.7,2.31,85.9,0
551.23,171.16,5.85,58.65,2997.6,1.95,77.2,0
536.89,174.76,3.38,62.95,2988.8,2.43,79.7,0
550.31,168.43,6.25,82.72,2988.2,1.69,84.4,0
549.46,171.76,3.36,64.87,2986.8,2.17,77.6,0
538.47,167.26,2.59,64.33,3000.5,2.32,80.4,0
538.24,173.3,3.25,56.96,2988.6,2.05,75.6,0
538.76,173.5,2.28,68.17,2976.9,2.17,85.8,0
540.19,176.8,1.45,49.9,3002.8,2.56,97.4,0
575.3,152.49,8.52,91.37,2987.6,2.27,74.2,1
557.58,156.12,6.54,81.29,2971.4,1.48,85.5,1
559.74,161.06,8.09,79.53,2950.7,1.6,55.7,1
533.45,175.14,1.97,64.2,3014.2,2.15,92.6,0
542.12,167.09,0.55,64.33,3021.3,2.39,94.7,0
549.89,164.72,3.35,66.02,2995.7,2.11,86.4,0
540.0,173.01,1.34,53.52,2991.7,1.96,79.9,0
538.82,176.18,2.24,63.02,3007.2,2.13,100.0,0
545.36,164.64,1.26,69.09,3005.6,2.02,76.3,0
549.0,177.74,1.89,65.96,2997.8,2.02,70.9,0
535.79,165.04,3.32,69.54,2975.6,1.24,86.8,0
520.72,169.9,2.29,65.11,3008.2,1.96,96.1,0
540.97,177.74,2.31,65.96,3014.7,2.05,63.4,0
542.04,170.82,2.54,65.87,3003.7,2.16,99.9,0
536.83,169.1,1.91,61.01,3025.1,2.18,78.0,0
539.67,170.1,2.68,58.7,2990.8,2.12,81.8,0
543.15,177.06,2.76,63.15,2980.5,2.52,73.3,0
546.79,168.83,2.87,69.94,2998.9,2.14,86.5,0
542.34,177.95,2.71,75.27,3035.3,1.96,76.6,0
537.14,180.94,0.98,62.18,2998.8,2.16,72.7,0
556.2,167.2,4.9,77.04,2972.7,1.53,69.7,0
541.26,172.13,2.52,61.79,3007.3,2.56,83.1,0
556.63,161.61,9.52,89.59,2954.8,1.6,55.0,1
544.84,172.35,3.07,64.23,2986.9,2.2,80.1,0
537.13,166.76,3.1,64.09,2990.3,2.46,99.2,0
535.2,170.5,2.97,70.96,2991.1,2.28,69.2,0
530.31,173.65,2.51,60.23,2993.9,2.34,86.1,0
544.68,172.75,4.61,60.97,3014.4,2.36,82.1,0
538.49,174.61,2.4,72.56,2978.2,2.2,72.5,0
542.91,168.17,2.86,65.06,3010.6,2.45,81.3,0
549.89,164.64,3.04,70.96,2973.3,2.26,80.0,0
568.44,153.41,8.39,83.55,2931.1,1.7,54.5,1
537.99,175.67,1.65,59.01,3013.0,2.32,80.4,0
530.92,167.01,3.64,73.69,3014.7,2.22,76.9,0
543.84,167.15,2.95,65.53,2976.2,2.36,94.7,0
571.12,146.25,7.31,91.28,2991.9,1.88,70.9,1
545.33,172.11,3.17,61.91,2991.6,1.98,89.4,0
546.23,173.17,2.57,53.04,2998.9,2.29,79.7,0
537.65,169.64,1.29,63.21,3013.4,2.32,90.0,0
563.37,164.39,7.58,87.55,2954.2,1.14,85.1,1
566.91,151.24,9.67,89.82,2981.2,1.63,75.1,1
529.07,170.35,1.99,59.99,2983.5,2.45,69.8,0
534.97,177.67,2.07,56.46,2983.3,2.45,83.4,0
535.61,176.94,3.42,59.07,3007.8,2.5,80.1,0
552.24,152.57,4.37,80.3,3013.1,1.65,67.4,0
553.61,162.52,1.98,64.58,2978.3,2.02,75.0,0
540.7,171.98,2.43,65.93,3003.0,2.04,100.0,0
563.35,172.48,5.89,64.87,3007.6,2.12,60.4,0
544.41,171.7,2.81,58.37,3015.7,2.43,82.7,0
539.65,168.36,1.2,64.45,3007.5,2.12,89.2,0
539.81,169.13,2.68,63.15,2998.0,2.37,80.6,0
527.15,170.08,2.43,72.84,3019.4,2.36,75.3,0
558.97,166.82,4.74,72.96,3020.7,1.77,95.6,0
583.78,157.96,9.81,85.58,2956.9,1.78,73.9,1
533.89,170.19,3.05,63.95,3016.1,2.67,77.1,0
528.95,175.53,3.01,75.71,2988.7,2.37,74.8,0
555.94,166.17,2.06,69.3,2994.2,2.19,85.3,0
543.34,157.38,8.74,76.77,2988.1,1.62,68.8,1
562.95,165.59,6.19,83.71,2970.2,1.7,63.4,0
533.4,159.28,2.93,70.24,2993.0,2.07,95.1,0
539.0,171.64,2.57,53.9,2996.6,2.03,86.8,0
601.39,162.01,9.39,94.56,2970.1,1.99,53.4,1
572.56,152.91,7.4,86.38,2985.8,1.81,54.6,1
551.52,161.04,3.18,73.1,2976.6,2.56,83.9,0
538.14,161.51,6.11,87.74,2943.3,1.46,100.0,0
543.12,170.0,1.46,70.08,2996.4,2.31,100.0,0
561.98,154.4,8.09,81.88,2952.0,1.3,68.9,1
541.41,168.5,2.46,78.1,2983.3,2.49,95.0,0
553.55,175.95,5.1,76.54,2983.3,2.26,92.0,0
534.99,171.67,2.26,64.55,3015.4,2.16,78.0,0
539.66,170.29,3.18,53.77,2990.9,2.24,97.0,0
536.06,164.61,1.95,58.73,2977.9,2.16,78.8,0
547.18,176.37,3.02,59.31,2997.0,2.2,91.0,0
545.35,176.98,2.83,68.76,3009.4,1.97,85.6,0
551.23,173.49,2.15,62.6,3004.4,2.29,87.0,0
542.49,173.92,2.75,74.32,3016.6,2.18,72.8,0
533.22,166.74,1.63,61.08,2994.4,1.92,85.2,0
561.41,159.25,6.8,78.68,3008.1,1.75,88.2,1
540.79,169.74,1.36,70.53,2987.7,2.08,74.9,0
545.61,174.24,1.51,67.76,3009.4,2.06,90.8,0
557.54,146.39,8.44,79.29,2962.9,1.5,77.4,1
537.58,173.35,2.27,62.65,3009.7,2.06,86.3,0
586.59,150.14,9.94,96.87,2947.6,1.27,79.6,1
535.22,175.41,1.45,68.11,3019.9,2.28,95.9,0
547.73,171.65,3.81,73.77,3026.5,2.1,71.5,0
535.57,171.84,0.82,68.13,3013.3,2.08,86.2,0
549.52,175.86,2.95,64.2,3000.0,1.94,96.1,0
548.62,166.29,2.11,71.15,3025.3,2.31,76.2,0
547.62,172.37,2.92,71.65,3012.7,2.3,75.2,0
564.5,171.21,1.58,66.93,2996.9,2.55,100.0,0
533.54,169.25,3.25,66.31,3005.0,2.36,89.3,0
537.27,173.15,1.86,69.48,2990.5,2.25,93.2,0
549.54,169.4,2.35,62.58,3005.1,2.26,78.3,0
554.34,152.71,5.45,68.6,2965.4,1.68,88.4,0
552.38,159.58,7.38,72.05,2967.4,1.91,86.3,1
548.72,153.12,4.83,83.85,2989.2,1.97,65.1,0
542.8,164.98,2.42,56.12,2998.8,2.03,94.2,0
555.26,171.54,6.27,93.79,2990.7,1.85,77.6,1
549.79,170.68,1.55,62.5,3025.5,2.19,51.8,0
528.25,174.76,2.21,56.48,2986.1,2.51,82.3,0
574.35,173.19,8.22,77.17,2985.5,1.47,94.0,1
552.81,155.97,6.39,82.34,2951.5,1.5,81.0,0
540.54,172.23,2.22,60.02,2992.0,2.44,86.2,0
533.24,167.34,2.89,59.49,3010.2,2.28,81.9,0
562.3,170.11,5.13,82.28,2923.6,1.67,74.9,0
532.72,166.72,1.91,64.65,3013.3,2.52,82.9,0
581.83,151.98,8.39,82.04,2953.0,1.41,100.0,1
541.77,172.54,5.64,54.58,3025.9,2.14,87.9,0
555.8,162.76,4.98,87.93,2958.9,1.43,67.3,0
550.06,171.63,2.14,68.77,2983.2,2.35,86.1,0
540.78,176.48,1.92,68.73,2997.1,2.19,85.9,0
542.02,173.48,1.33,59.14,3017.2,2.27,90.3,0
567.31,168.77,4.67,72.24,2972.4,1.6,65.2,0
529.99,173.2,2.35,66.62,2982.8,2.22,55.1,0
574.1,165.22,7.47,93.02,2944.8,2.13,83.6,1
538.11,168.65,2.98,59.48,3013.9,2.1,80.1,0
549.78,168.71,2.78,62.15,2972.7,2.25,65.9,0
539.45,163.95,2.31,65.61,2984.9,2.14,92.2,0
544.35,171.0,2.71,71.36,3011.0,2.26,68.5,0
561.15,156.08,8.76,84.58,3016.4,1.88,74.7,1
557.12,159.05,8.14,80.38,2970.3,1.55,46.9,1
543.19,162.46,7.12,78.45,2949.8,2.05,59.7,1
543.44,172.17,0.77,63.36,3017.3,2.1,74.2,0
555.57,168.0,6.81,80.47,2936.1,1.82,78.0,1
525.04,168.06,2.65,67.25,2992.4,2.21,60.1,0
560.0,158.96,8.35,85.73,2966.3,1.35,67.3,1
541.44,172.44,2.33,61.85,2967.2,2.43,89.0,0
543.42,163.14,1.93,63.56,2988.2,2.55,76.4,0
538.68,166.6,2.2,63.25,2982.0,2.14,86.5,0
572.99,162.35,6.75,92.77,3003.2,2.04,65.2,1
534.14,179.09,3.12,67.77,3003.5,2.15,97.0,0
541.12,173.66,2.33,68.27,2992.9,2.67,58.4,0
525.46,173.8,2.42,67.1,2987.0,2.46,95.4,0
544.67,176.73,2.12,65.37,2995.0,2.46,95.9,0
577.93,148.73,8.34,87.54,2895.9,1.75,61.9,1
537.29,171.94,2.7,64.03,2988.7,2.41,100.0,0
561.14,160.9,5.58,83.35,2929.1,2.16,76.6,0
565.68,156.7,8.41,80.15,2994.8,1.53,73.3,1
572.62,156.45,9.09,76.13,2957.7,1.41,74.3,1
560.74,162.46,4.63,83.8,2967.9,1.11,71.3,0
545.39,158.15,2.7,59.07,3009.1,2.34,83.3,0
557.65,171.9,5.33,90.99,2950.9,1.89,60.3,1
569.08,159.86,8.38,84.04,2973.0,1.18,72.8,1
547.78,164.48,2.24,61.1,3020.0,1.96,93.9,0
583.75,166.06,8.97,99.12,3007.3,1.25,46.7,1
524.96,175.72,2.67,69.64,3008.1,2.49,88.0,0
577.18,152.56,9.31,88.81,2945.0,1.73,78.4,1
553.51,173.68,3.93,56.72,2992.1,2.05,92.2,0
544.95,163.42,1.85,68.55,3016.1,2.27,82.1,0
523.08,167.91,0.88,59.65,3028.7,1.94,86.9,0
568.61,164.16,7.87,105.15,2920.1,1.85,67.6,1
575.73,159.37,5.87,92.63,2967.4,1.72,81.7,1
539.07,171.26,3.02,59.31,3018.2,2.55,96.7,0
530.04,165.61,2.2,66.16,3009.7,2.16,76.3,0
536.98,171.38,1.46,61.21,3000.4,2.14,91.1,0
591.61,168.25,5.38,77.19,2950.9,1.58,63.9,0
554.52,165.29,6.75,78.26,2964.8,2.11,66.7,1
526.94,164.23,3.41,66.69,2985.9,2.24,74.7,0
548.29,174.1,2.5,70.42,3011.2,2.49,80.4,0
526.1,168.19,2.83,64.73,2985.3,2.42,100.0,0
553.86,159.48,3.02,76.75,3010.6,2.05,78.2,0
535.29,165.81,1.64,69.18,3003.6,2.27,97.9,0
551.2,163.29,1.41,64.26,3007.5,2.56,92.1,0
555.81,156.03,7.62,74.84,3014.7,1.71,93.7,1
541.74,165.11,2.43,66.69,2997.3,2.1,72.5,0
540.18,164.23,1.15,56.03,2979.7,2.06,100.0,0
541.38,172.55,4.46,62.29,2973.0,2.5,76.7,0
537.11,172.53,1.92,75.83,3017.9,2.24,95.3,0
541.48,176.95,2.6,61.04,2996.9,2.36,77.3,0
556.7,156.42,6.93,90.3,2977.8,1.71,63.0,1
543.93,172.85,2.66,64.51,3006.5,1.69,91.8,0
541.01,176.9,2.43,62.05,3012.7,2.17,74.3,0
535.6,169.26,3.17,66.04,2980.6,2.09,78.9,0
539.38,171.63,3.47,70.71,2991.6,2.45,87.1,0
543.73,176.73,2.92,64.51,3034.1,2.38,90.7,0
529.79,177.0,2.94,57.28,3002.0,2.08,87.3,0
536.9,167.93,2.12,58.72,2998.1,2.09,55.7,0
556.42,169.01,2.65,61.36,3000.1,2.23,77.7,0
541.25,175.12,2.64,58.32,2993.8,2.23,80.5,0
551.42,164.48,3.95,72.36,2948.4,2.13,52.0,0
562.14,173.77,4.26,58.47,2975.8,1.94,66.8,0
568.79,164.64,10.09,88.54,2911.6,1.34,63.0,1
575.15,168.74,9.49,90.46,2952.5,1.42,82.0,1
534.98,172.51,2.22,62.52,3008.9,1.89,68.0,0
544.0,167.33,3.48,60.62,3025.7,1.85,89.3,0
543.8,170.8,2.21,63.75,2984.0,1.76,96.0,0
532.27,178.15,2.03,59.13,2997.0,2.61,66.7,0
531.59,164.1,2.71,77.85,2979.6,1.92,88.4,0
539.61,169.2,2.76,72.26,3013.2,1.98,98.8,0
542.51,168.69,4.45,63.01,2990.8,2.56,70.3,0
525.28,169.84,3.01,65.62,2998.3,1.94,87.3,0
533.95,172.9,0.49,64.81,3000.7,2.39,86.8,0
537.62,176.56,2.76,65.97,2980.9,2.26,76.7,0
551.62,175.03,7.7,91.96,2943.7,1.81,59.2,1
569.84,160.15,7.27,83.57,3032.7,1.43,90.1,1
